document,cluster
ABSTRACT THOUGHT BUILDING,1
BLACK.,1
BUS,1
CLASSROOM,1
DAD'S HEADQUARTERS,1
DO NOT ENTER WHEN LIGHT FLASHING.,1
DREAM PRODUCTIONS,1
EXT. SCHOOL - MORNING,1
FALLS!,1
GOOFBALL ISLAND,1
HEADQUARTERS,2
HOCKEY RINK,1
HOSPITAL,1
IMAGINATIONLAND,0
LONG-TERM MEMORY,3
MEMORY DUMP,1
MIND WORLD,1
MINNESOTA HOUSE,1
MINNESOTA LAKE,1
MOM'S HEADQUARTERS,1
ON THE SCREEN:,1
SAN FRANCISCO HOUSE,4
SAN FRANCISCO STREET,1
STAGE B,1
SUBCONSCIOUS CAVE,1
SUBCONSCIOUS GATE,1
SUBCONSCIOUS STAIRS,1
THE BACK OF THE ROOM,1
TITLE CARD: INSIDE OUT,1
TRAIN CAR,1
TRAIN STATION,1
